timestamp,frame_index,detection_count,known_can_count,merge_radius_m,known_cans_json,detection_index,confidence,center_x,center_y,error_x
1788701463.0190804,144,1,0,0.3,[],0,0.997961163520813,155.625,147.7734375,-0.013671875
1788701463.7684197,145,1,0,0.3,[],0,0.9975513815879822,155.3515625,147.802734375,-0.0145263671875
1788701464.228925,146,1,0,0.3,[],0,0.9983059167861938,155.9375,147.216796875,-0.0126953125
1788701464.6731718,147,1,0,0.3,[],0,0.9976264834403992,155.7421875,147.36328125,-0.0133056640625
1788701465.10818,148,1,0,0.3,[],0,0.9985306262969971,155.546875,148.0078125,-0.013916015625
1788701465.5405252,149,1,0,0.3,[],0,0.9981505274772644,155.6640625,146.19140625,-0.0135498046875
1788701465.9745436,150,2,0,0.3,[],0,0.9982556700706482,156.171875,145.3125,-0.011962890625
1788701465.9745436,150,2,0,0.3,[],1,0.2054954171180725,92.734375,121.2890625,-0.210205078125
1788701466.4059718,151,1,0,0.3,[],0,0.9965503215789795,156.875,145.869140625,-0.009765625
1788701466.8372257,152,1,0,0.3,[],0,0.9969245791435242,158.7890625,139.072265625,-0.0037841796875
1788701467.2704532,153,1,0,0.3,[],0,0.9975513815879822,157.265625,141.328125,-0.008544921875
1788701467.7024643,154,1,0,0.3,[],0,0.9982002973556519,162.1875,137.548828125,0.0068359375
1788701468.1392286,155,2,0,0.3,[],0,0.9959219694137573,155.15625,144.609375,-0.01513671875
1788701468.1392286,155,2,0,0.3,[],1,0.2254166156053543,90.9375,127.734375,-0.2158203125
1788701468.5713096,156,1,0,0.3,[],0,0.9982892870903015,155.625,146.953125,-0.013671875
1788701469.0025842,157,1,0,0.3,[],0,0.9985868334770203,155.46875,146.572265625,-0.01416015625
1788701469.4349751,158,1,0,0.3,[],0,0.9979531764984131,155.625,144.990234375,-0.013671875
1788701469.869196,159,2,0,0.3,[],0,0.998798131942749,154.921875,145.869140625,-0.015869140625
1788701469.869196,159,2,0,0.3,[],1,0.24698711931705475,91.09375,127.060546875,-0.21533203125
1788701470.3045285,160,2,0,0.3,[],0,0.997977077960968,155.859375,145.576171875,-0.012939453125
1788701470.3045285,160,2,0,0.3,[],1,0.27129995822906494,91.09375,127.646484375,-0.21533203125
1788701470.7348309,161,1,0,0.3,[],0,0.9983990788459778,154.7265625,146.396484375,-0.0164794921875
1788701471.1657612,162,1,0,0.3,[],0,0.999069094657898,163.125,138.193359375,0.009765625
1788701471.599309,163,1,0,0.3,[],0,0.9986114501953125,155.703125,146.66015625,-0.013427734375
1788701472.036266,164,2,0,0.3,[],0,0.998672366142273,155.3515625,147.626953125,-0.0145263671875
1788701472.036266,164,2,0,0.3,[],1,0.25865355134010315,91.25,127.03125,-0.21484375
1788701472.4696648,165,2,0,0.3,[],0,0.9980276226997375,154.609375,145.78125,-0.016845703125
1788701472.4696648,165,2,0,0.3,[],1,0.24816958606243134,90.9375,128.3203125,-0.2158203125
1788701472.903928,166,2,0,0.3,[],0,0.9984899759292603,155.46875,145.48828125,-0.01416015625
1788701472.903928,166,2,0,0.3,[],1,0.25173965096473694,91.25,128.5546875,-0.21484375
1788701473.338998,167,2,0,0.3,[],0,0.9977349042892456,155.78125,146.103515625,-0.01318359375
1788701473.338998,167,2,0,0.3,[],1,0.2582792043685913,91.171875,127.734375,-0.215087890625
1788701473.7723112,168,1,0,0.3,[],0,0.9985477328300476,155.7421875,146.3671875,-0.0133056640625
1788701474.205991,169,2,0,0.3,[],0,0.9969839453697205,155.546875,143.525390625,-0.013916015625
1788701474.205991,169,2,0,0.3,[],1,0.2074955850839615,91.015625,127.8515625,-0.215576171875
1788701474.6396568,170,2,0,0.3,[],0,0.99871826171875,164.53125,139.130859375,0.01416015625
1788701474.6396568,170,2,0,0.3,[],1,0.28066563606262207,91.09375,127.8515625,-0.21533203125
1788701475.0741248,171,2,0,0.3,[],0,0.998542070388794,154.8828125,145.986328125,-0.0159912109375
1788701475.0741248,171,2,0,0.3,[],1,0.21399249136447906,90.859375,127.5,-0.216064453125
1788701475.5061696,172,1,0,0.3,[],0,0.9982247948646545,155.3125,146.806640625,-0.0146484375
1788701475.938382,173,1,0,0.3,[],0,0.9987695813179016,155.546875,147.158203125,-0.013916015625
1788701476.370232,174,1,0,0.3,[],0,0.9988642930984497,154.53125,146.630859375,-0.01708984375
1788701476.8038335,175,2,0,0.3,[],0,0.9976264834403992,154.84375,147.216796875,-0.01611328125
1788701476.8038335,175,2,0,0.3,[],1,0.20079264044761658,90.703125,128.173828125,-0.216552734375
1788701477.236738,176,1,0,0.3,[],0,0.9981862902641296,155.9375,147.83203125,-0.0126953125
1788701477.6692495,177,2,0,0.3,[],0,0.9973269701004028,154.6484375,146.630859375,-0.0167236328125
1788701477.6692495,177,2,0,0.3,[],1,0.22584319114685059,90.859375,128.408203125,-0.216064453125
1788701478.1011875,178,1,0,0.3,[],0,0.9979129433631897,155.234375,145.546875,-0.014892578125
1788701478.5324132,179,1,0,0.3,[],0,0.9975513815879822,155.5078125,145.6640625,-0.0140380859375
1788701478.9672046,180,2,0,0.3,[],0,0.999054491519928,155.0390625,146.30859375,-0.0155029296875
1788701478.9672046,180,2,0,0.3,[],1,0.26407358050346375,91.25,127.5,-0.21484375
1788701479.399467,181,1,0,0.3,[],0,0.9984481334686279,155.0390625,146.865234375,-0.0155029296875
1788701479.8340023,182,2,0,0.3,[],0,0.9982859492301941,154.6484375,146.484375,-0.0167236328125
1788701479.8340023,182,2,0,0.3,[],1,0.22494804859161377,90.859375,127.060546875,-0.216064453125
1788701480.267845,183,2,0,0.3,[],0,0.9985249638557434,155.78125,146.630859375,-0.01318359375
1788701480.267845,183,2,0,0.3,[],1,0.2112540453672409,90.859375,127.1484375,-0.216064453125
